"name","code","price","age","pieces","origin","year","month","length","width","height","weight","category"
"마리오 카트™ – 베이비피치와 그랑프리 세트",72036,114900,8,823,"중국",2025,1,38.2,26.2,7.05,942,"super-mario"
"마리오 카트™ – 레고® 마리오와 스탠더드카트",72043,74900,7,278,NA,2025,NA,NA,NA,NA,NA,"super-mario"
"마리오 카트™ - 헤이호와 Ｐ윙",72045,29900,7,249,"중국",2025,8,26.2,19.1,4.6,333,"super-mario"
"쿠파 익스프레스",71437,159900,9,1392,NA,2024,8,48,37.8,9.4,2160,"super-mario"
"플로리안왕자와 성 쿠파",72042,149900,9,1251,"중국",2025,8,37.8,35.4,11.8,1845,"super-mario"
"마리오 카트™ - 와리오와 킹부끄",72038,74900,8,512,"중국",2025,8,28.2,26.2,5.9,683,"super-mario"
"마리오 카트™ – 베이비마리오 대 베이비루이지",72034,44900,8,321,"중국",2025,1,35.4,19.1,5.9,376,"super-mario"
"마리오 카트™ – 요시바이크",72031,19900,7,133,"중국",2025,1,19.1,14.1,4.6,171,"super-mario"
"레고® 마리오™ 와 모험!",71439,69900,6,218,NA,2024,8,28.2,26.2,5.9,467,"super-mario"
"마리오 카트™ – 스탠더드카트",72032,29900,7,174,"중국",2025,1,26.2,19.1,4.6,252,"super-mario"
"마리오 카트™ – 스탠더드카트",72032,29900,7,174,"중국",2025,1,26.2,19.1,4.6,252,"super-mario"
"키노피오대장의 캠프",72040,21900,6,159,"중국",2025,8,26.2,14.1,4.8,277,"super-mario"
"키노피오하우스에서 홈 파티",72041,44900,7,276,"중국",2025,8,35.4,19.1,5.9,436,"super-mario"
"킹부끄의 유령의 집",71436,109900,8,932,NA,2024,8,45.6,28.2,7.2,1205,"super-mario"
"피치 성에서 로이와 대결!",71435,94900,7,738,NA,2024,8,38.2,26.2,7.05,987,"super-mario"
"레고® 피치와™ 모험!",71441,69900,6,208,NA,2024,8,28.2,26.2,5.9,447,"super-mario"
"레고® 루이지™ 와 모험!",71440,69900,6,210,NA,2024,8,28.2,26.2,5.9,457,"super-mario"
"마리오 카트™ – 키노피오의 차고",72035,52900,8,390,"중국",2025,1,26.2,22.2,7.6,605,"super-mario"
"Oracle Red Bull Racing RB20 F1 레이스 카",42206,289900,18,1639,NA,2025,NA,NA,NA,NA,NA,"technic"
"Ferrari SF-24 F1 레이스 카",42207,289900,18,1361,NA,2025,NA,NA,NA,NA,NA,"technic"
"페라리 Daytona SP3",42143,599900,18,3778,NA,2022,NA,NA,NA,NA,NA,"technic"
"Ford Bronco® SUV",42213,89900,9,943,"중국",2025,8,38.2,26.2,9.4,1130,"technic"
"Mercedes-AMG F1 W14 E Performance Pull-Back",42165,39900,7,240,"중국",2024,3,26.2,14.1,9.1,404,"technic"
"Mercedes-AMG F1 W14 E Performance",42171,289900,18,1643,"중국",2024,3,55.5,37.8,8.7,2506,"technic"
"McLaren P1™",42172,599900,18,3893,"중국",2024,8,52.2,37.8,23,6647,"technic"
"Mercedes-Benz G 500 PROFESSIONAL Line",42177,329900,18,2891,"중국",2024,8,55.5,37.8,13.2,3246,"technic"
"Lamborghini Sián FKP 37",42115,599900,18,3696,NA,2020,6,57,37.5,15,6124,"technic"
"Liebherr LR 13000 크롤러 크레인",42146,879900,18,2883,NA,2023,NA,NA,NA,NA,NA,"technic"
"Ferrari FXX K",42212,84900,10,897,"중국",2025,8,38.2,26.2,7.05,928,"technic"
"Volvo EC500 Hybrid 굴착기",42215,539900,18,2359,"중국",2025,8,52.3,48,12.4,3583,"technic"
"Volvo FMX 트럭 및 EC230 전기 굴착기",42175,259900,10,2274,NA,2024,8,55.5,37.8,11.8,3593,"technic"
"Lamborghini Revuelto 슈퍼 스포츠카",42214,249900,10,1135,"중국",2025,8,38.2,26.2,11.8,1677,"technic"
"패스트 & 퓨리어스 2 Nissan Skyline GT-R (R34)",42210,199900,18,1410,"중국",2025,6,45.6,28.2,11.8,1978,"technic"
"푸조 9X8 24H 르망 하이브리드 하이퍼카",42156,259900,18,1775,NA,2023,5,48,37.8,11.2,2730,"technic"
"공전하는 지구와 달",42179,114900,10,526,NA,2024,3,38.2,26.2,9.4,1031,"technic"
"2022 포드 GT",42154,159900,18,1468,"중국",2023,3,48,28.2,9.1,1725,"technic"
"푸조 9X8 24H 르망 하이브리드 하이퍼카",42156,259900,18,1775,NA,2023,5,48,37.8,11.2,2730,"technic"
"공전하는 지구와 달",42179,114900,10,526,NA,2024,3,38.2,26.2,9.4,1031,"technic"
"2022 포드 GT",42154,159900,18,1468,"중국",2023,3,48,28.2,9.1,1725,"technic"
"Volvo L120 Electric 휠 로더",42209,149900,9,973,"중국",2025,6,38.2,26.2,9.4,1231,"technic"
"Ducati Panigale V4 S 모터사이클",42202,279900,18,1603,"중국",2025,1,55.5,37.8,10.3,2876,"technic"
"BMW M 1000 RR",42130,329900,18,1921,"중국",2022,1,58.2,37.8,10.3,2781,"technic"
"Aston Martin Valkyrie",42208,89900,9,707,NA,2025,NA,NA,NA,NA,NA,"technic"
"Koenigsegg Jesko Absolut 화이트 하이퍼카",42184,69900,10,801,NA,2024,8,38.2,26.2,7.05,1041,"technic"
"맥라렌 포뮬러 1™ 레이스카",42141,259900,18,1434,"중국",2022,3,58.2,37.8,8.7,2270,"technic"
"야마하 MT-10 SP",42159,299900,18,1478,"중국",2023,8,58.2,37.8,8.7,2135,"technic"
"Lamborghini Huracán Tecnica 오렌지",42196,77900,9,806,NA,2024,4,38.2,26.2,7.05,1079,"technic"
"테크닉 허브",88012,83930,7,1,"중국",2020,6,17,17,2.1,83,"technic"
"Porsche GT4 e-Performance 레이스카",42176,229900,10,836,"중국",2024,8,38.2,26.2,9.4,1593,"technic"
"부가티 볼리드",42151,72900,9,905,NA,2023,1,38.2,26.2,7.05,907,"technic"
"아우디 RS Q e-트론",42160,229900,10,914,"중국",2023,8,38.2,26.2,11.8,1860,"technic"
"Fast and Furious Toyota Supra MK4",42204,89900,9,810,"중국",2025,3,38.2,26.2,7.05,1019,"technic"
"Koenigsegg Jesko Absolut 그레이 하이퍼카",42173,69900,10,801,NA,2024,8,38.2,26.2,7.05,990,"technic"
"Kawasaki Ninja H2R 모터사이클",42170,114900,10,643,NA,2024,3,38.2,26.2,7.05,873,"technic"
"Chevrolet Corvette Stingray",42205,89900,9,732,"중국",2025,3,38.2,26.2,7.05,894,"technic"
"Emirates Team New Zealand AC75 요트",42174,159900,18,962,"중국",2024,8,28.2,45.6,8.8,1095,"technic"
"NASA 화성 탐사선 퍼서비어런스",42158,137900,10,1132,"중국",2023,6,38.2,26.2,11.8,1485,"technic"
"테크닉 라지 모터",88013,49900,7,1,"인도네시아",2020,6,14,2.24,2.24,60,"technic"
"Chevrolet Corvette Stingray Blue",42217,89900,9,732,"중국",2025,6,38.2,26.2,7.05,865,"technic"
"VTOL 헤비 카고 스페이스쉽 LT81",42181,149900,10,1365,NA,2024,3,45.6,28.2,13.6,2140,"technic"
"덤프 트럭",42203,74900,9,462,"중국",2025,3,28.2,26.2,7.6,817,"technic"
"Lunar Outpost™ 문 로버 우주차량",42211,149900,10,1082,"중국",2025,8,45.6,28.2,8.8,1456,"technic"
"NEOM McLaren Extreme E 레이스카",42166,39900,7,252,NA,2024,1,26.2,14.1,7.2,418,"technic"
"오지 비행기",42198,40900,8,333,NA,2025,NA,NA,NA,NA,NA,"technic"
"NASA Apollo 달 탐사 차량 - LRV",42182,299900,18,1913,"중국",2024,8,55.5,37.8,10.3,2178,"technic"
"Mack® LR Electric 청소 트럭",42167,49900,8,503,NA,2024,1,35.4,19.1,7,709,"technic"
"람보르기니 우라칸 테크니카",42161,77900,9,806,NA,2023,8,38.2,26.2,7.05,1055,"technic"
"John Deere 9700 Forage Harvester",42168,56900,9,559,"중국",2024,1,26.2,22.2,9.5,678,"technic"
"Monster Jam™ ThunderROARus™ 풀백",42200,40900,7,232,NA,2025,NA,NA,NA,NA,NA,"technic"
"백호우 로더",42197,13900,7,104,NA,2025,NA,NA,NA,NA,NA,"technic"
"오프로드 레이스 버기카",42164,22900,8,219,NA,2024,1,19.1,14.1,7.05,289,"technic"
"서피스 스페이스 로더 LT78",42178,49900,8,435,NA,2024,3,28.2,26.2,7.6,720,"technic"
"Monster Jam™ DIGatron™ 풀백",42199,40900,7,218,NA,2025,NA,NA,NA,NA,NA,"technic"
"심해 연구용 잠수함",42201,59900,9,413,NA,2025,NA,NA,NA,NA,NA,"technic"
"배터리 박스",88015,49900,7,1,NA,NA,NA,NA,NA,NA,NA,"technic"
"1966 포드 GT40 MKII 레이스카",42223,109900,18,793,NA,2026,NA,NA,NA,NA,NA,"technic"
"NEOM McLaren Formula E 레이스카",42169,69900,9,452,"중국",2024,3,38.2,26.2,5.65,770,"technic"
"화성 탐사대원의 탐사용 로버",42180,199900,11,1599,"중국",2024,3,48,37.8,11.2,2372,"technic"
"헤비듀티 불도저",42163,12900,7,195,NA,2024,1,14.1,12.2,4.6,151,"technic"
"데크나무 2 in 1",77092,399900,18,2500,"중국",2024,9,55.5,37.8,11.8,2729,"legend-of-zelda"
"씽의 아파트",76785,119900,10,828,"중국",2025,10,38.2,26.2,9.4,1255,"wednesday"
"모티시아의 작은 집",76786,149900,10,1002,"중국",2025,10,45.6,28.2,8.8,1417,"wednesday"
"검은 달리아 꽃",76784,36900,9,358,"중국",2025,8,19.1,26.2,6.1,367,"wednesday"
"웬즈데이와 이니드의 기숙사 방",76781,129900,10,750,"중국",2024,10,45.6,28.2,7.2,1304,"wednesday"
"웬즈데이 아담스 피겨",76780,69900,10,702,"중국",2024,10,26.2,22.2,9.5,806,"wednesday"
"웬즈데이와 이니드",40750,28200,10,239,"헝가리",2024,10,19.1,14.1,6.1,254,"wednesday"
"에메랄드 시티 월아트",75685,209900,18,1518,"중국",2025,9,37.8,48,9.4,2037,"wicked"
"엘파바와 글린다 피겨",40794,28200,10,325,"중국",2025,9,19.1,14.1,9.1,335,"wicked"
"글린다와 엘파바 책꽂이",75691,169900,18,1327,"중국",2025,9,35.4,37.8,9.4,1679,"wicked"
"에메랄드 시티와 키아모 코 성",75689,119900,9,860,"중국",2025,9,38.2,26.2,7.05,955,"wicked"
"글린다와 엘파바의 먼치킨랜드 방문",75690,99900,9,744,"중국",2025,9,38.2,26.2,7.05,1001,"wicked"
"글린다의 결혼식 날",75688,59900,8,476,"중국",2025,9,26.2,22.2,6.2,638,"wicked"
"에메랄드 시티",75684,149900,9,945,"중국",2024,10,37.8,35.4,7.05,1192,"wicked"
"엘파바와 글린다 피겨",75682,79900,10,558,"중국",2024,10,28.2,26.2,7.6,523,"wicked"
"글린다와 엘파바의 기숙사",75683,99900,8,740,"중국",2024,10,38.2,26.2,7.05,881,"wicked"
"엘파바의 은신처",75687,36900,7,228,"중국",2025,9,26.2,19.1,4.6,289,"wicked"
"시즈 대학교의 글린다, 엘파바 그리고 네사로즈",75681,44900,7,304,"중국",2024,10,26.2,19.1,6.1,415,"wicked"
